,station,model,abs_error,squared_error,r2,last-updated
89,96.0,weekend,1.1353373332588121,2.1270183822847417,0.8311561839182803,2019-04-16
90,17.0,weekday,1.030536601771307,1.6441186653916129,0.7465855899626369,2019-04-16
91,17.0,weekend,1.323333521885522,2.1892118486351353,0.8957568424672673,2019-04-16
92,95.0,weekday,1.9932638109282936,3.6456353837965496,0.9278519021023399,2019-04-16
93,95.0,weekend,1.3912768199798617,2.4148905730378383,0.9071245381305875,2019-04-16
94,114.0,weekday,2.2052429227640906,3.93465247793453,0.9279866664191323,2019-04-16
95,114.0,weekend,1.7327167172793092,3.225893684642989,0.8030351559737448,2019-04-16
96,3.0,weekday,1.1627771461147411,1.6595604035907114,0.6292620676056581,2019-04-16
97,3.0,weekend,1.716047020418035,2.6952240450329197,0.7758827567702786,2019-04-16
98,9.0,weekday,1.923085121611979,2.8748507597505797,0.8652757694277952,2019-04-16
99,9.0,weekend,2.102443817597167,3.3787228123496353,0.8056087313608682,2019-04-16
100,94.0,weekday,1.9992999888773852,3.9433796964757377,0.9296096055885172,2019-04-16
101,94.0,weekend,2.373476413753908,4.626593610724313,0.5940631404600147,2019-04-16
102,66.0,weekday,2.480888427684697,3.8545174809278526,0.8987012493537488,2019-04-16
103,66.0,weekend,1.6291221901666577,2.8987192379330597,0.7916677856865835,2019-04-16
104,30.0,weekday,1.0456733502305486,1.7865455149796508,0.6562457247419946,2019-04-16
105,30.0,weekend,0.7276373725043725,1.1141135133754505,0.600497411275056,2019-04-16
106,103.0,weekday,1.4212211509308321,2.6030116123070965,0.7998209204014873,2019-04-16
107,103.0,weekend,1.1068332437482036,2.1247011572411214,0.8659299138507546,2019-04-16
108,75.0,weekday,1.9123899129105548,3.3581607252829233,0.907851473715047,2019-04-16
109,75.0,weekend,2.0424314768560374,3.599982179621472,0.8312557923310825,2019-04-16
110,34.0,weekday,2.4462236414856764,3.746388361236857,0.8526658776282385,2019-04-16
111,34.0,weekend,2.1051359280012134,3.2648707179896945,0.8424084076843803,2019-04-16
112,111.0,weekday,1.9994658675086305,3.2156931832700977,0.9232744920605123,2019-04-16
113,111.0,weekend,1.3276025092137445,2.1251814045827264,0.9119492879322018,2019-04-16
114,72.0,weekday,2.007949968769082,3.339722776094198,0.8474927345092105,2019-04-16
115,72.0,weekend,2.339096935956201,3.8100254960863884,0.8068083301608384,2019-04-16
116,40.0,weekday,1.487826497016061,2.3861684478371408,0.7872166471673839,2019-04-16
117,40.0,weekend,1.4010468041534563,2.192859413657415,0.881247572867722,2019-04-16
118,113.0,weekday,2.078273297406665,3.664441738885619,0.9258178669416809,2019-04-16
119,113.0,weekend,1.6947696180256142,3.246537469913484,0.7230003101598748,2019-04-16
120,88.0,weekday,1.476915471569617,2.396210073437584,0.9354872199800198,2019-04-16
121,88.0,weekend,1.3130623629037286,2.229434823644152,0.8893369027304294,2019-04-16
122,8.0,weekday,2.2517349722677604,3.4099506361252523,0.8613351494298239,2019-04-16
123,8.0,weekend,1.4678468056499991,2.4220992975167697,0.9266069989502219,2019-04-16
124,73.0,weekday,1.4890832618683076,2.409182978309169,0.9199041071168923,2019-04-16
